Tick;Step;Rule;speed;0_Position;1_Position;ID
99;99;;1;237;104;452f497d-cfb1-4464-b332-d24c335eec12
100;100;;1;230;105;a86667f6-76a5-440d-811a-9885aa6702b0
100;100;;1;237;105;452f497d-cfb1-4464-b332-d24c335eec12
101;101;;1;230;106;a86667f6-76a5-440d-811a-9885aa6702b0
101;101;;1;237;106;452f497d-cfb1-4464-b332-d24c335eec12
102;102;;1;230;107;a86667f6-76a5-440d-811a-9885aa6702b0
102;102;;1;237;107;452f497d-cfb1-4464-b332-d24c335eec12
103;103;;1;230;108;a86667f6-76a5-440d-811a-9885aa6702b0
103;103;;1;237;108;452f497d-cfb1-4464-b332-d24c335eec12
104;104;;1;230;109;a86667f6-76a5-440d-811a-9885aa6702b0
104;104;;1;237;109;452f497d-cfb1-4464-b332-d24c335eec12
105;105;;1;230;110;a86667f6-76a5-440d-811a-9885aa6702b0
105;105;;1;237;110;452f497d-cfb1-4464-b332-d24c335eec12
106;106;;1;230;111;a86667f6-76a5-440d-811a-9885aa6702b0
106;106;;1;237;111;452f497d-cfb1-4464-b332-d24c335eec12
107;107;;1;230;112;a86667f6-76a5-440d-811a-9885aa6702b0
107;107;;1;237;112;452f497d-cfb1-4464-b332-d24c335eec12
108;108;;1;230;113;a86667f6-76a5-440d-811a-9885aa6702b0
108;108;;1;237;113;452f497d-cfb1-4464-b332-d24c335eec12
109;109;;1;230;114;a86667f6-76a5-440d-811a-9885aa6702b0
109;109;;1;237;114;452f497d-cfb1-4464-b332-d24c335eec12
110;110;;1;230;115;a86667f6-76a5-440d-811a-9885aa6702b0
110;110;;1;237;115;452f497d-cfb1-4464-b332-d24c335eec12
111;111;;1;230;116;a86667f6-76a5-440d-811a-9885aa6702b0
111;111;;1;237;116;452f497d-cfb1-4464-b332-d24c335eec12
112;112;;1;230;117;a86667f6-76a5-440d-811a-9885aa6702b0
112;112;;1;237;117;452f497d-cfb1-4464-b332-d24c335eec12
113;113;;1;230;118;a86667f6-76a5-440d-811a-9885aa6702b0
113;113;;1;237;118;452f497d-cfb1-4464-b332-d24c335eec12
114;114;;1;230;119;a86667f6-76a5-440d-811a-9885aa6702b0
114;114;;1;237;119;452f497d-cfb1-4464-b332-d24c335eec12
115;115;;1;230;120;a86667f6-76a5-440d-811a-9885aa6702b0
115;115;;1;237;120;452f497d-cfb1-4464-b332-d24c335eec12
116;116;;1;230;121;a86667f6-76a5-440d-811a-9885aa6702b0
116;116;;1;237;121;452f497d-cfb1-4464-b332-d24c335eec12
117;117;;1;230;122;a86667f6-76a5-440d-811a-9885aa6702b0
117;117;;1;237;122;452f497d-cfb1-4464-b332-d24c335eec12
118;118;;1;230;123;a86667f6-76a5-440d-811a-9885aa6702b0
118;118;;1;237;123;452f497d-cfb1-4464-b332-d24c335eec12
119;119;;1;230;124;a86667f6-76a5-440d-811a-9885aa6702b0
119;119;;1;237;124;452f497d-cfb1-4464-b332-d24c335eec12
120;120;;1;230;125;a86667f6-76a5-440d-811a-9885aa6702b0
120;120;;1;237;125;452f497d-cfb1-4464-b332-d24c335eec12
121;121;;1;230;126;a86667f6-76a5-440d-811a-9885aa6702b0
121;121;;1;237;126;452f497d-cfb1-4464-b332-d24c335eec12
122;122;;1;230;127;a86667f6-76a5-440d-811a-9885aa6702b0
122;122;;1;237;127;452f497d-cfb1-4464-b332-d24c335eec12
123;123;;1;230;128;a86667f6-76a5-440d-811a-9885aa6702b0
123;123;;1;237;128;452f497d-cfb1-4464-b332-d24c335eec12
124;124;;1;230;129;a86667f6-76a5-440d-811a-9885aa6702b0
124;124;;1;237;129;452f497d-cfb1-4464-b332-d24c335eec12
125;125;;1;230;130;a86667f6-76a5-440d-811a-9885aa6702b0
125;125;;1;237;130;452f497d-cfb1-4464-b332-d24c335eec12
126;126;;1;230;131;a86667f6-76a5-440d-811a-9885aa6702b0
126;126;;1;237;131;452f497d-cfb1-4464-b332-d24c335eec12
127;127;;1;230;132;a86667f6-76a5-440d-811a-9885aa6702b0
127;127;;1;237;132;452f497d-cfb1-4464-b332-d24c335eec12
128;128;;1;230;133;a86667f6-76a5-440d-811a-9885aa6702b0
128;128;;1;237;133;452f497d-cfb1-4464-b332-d24c335eec12
129;129;;1;230;134;a86667f6-76a5-440d-811a-9885aa6702b0
129;129;;1;237;134;452f497d-cfb1-4464-b332-d24c335eec12
130;130;;1;230;135;a86667f6-76a5-440d-811a-9885aa6702b0
130;130;;1;237;135;452f497d-cfb1-4464-b332-d24c335eec12
131;131;;1;230;136;a86667f6-76a5-440d-811a-9885aa6702b0
131;131;;1;237;136;452f497d-cfb1-4464-b332-d24c335eec12
132;132;;1;230;137;a86667f6-76a5-440d-811a-9885aa6702b0
132;132;;1;237;137;452f497d-cfb1-4464-b332-d24c335eec12
133;133;;1;230;138;a86667f6-76a5-440d-811a-9885aa6702b0
133;133;;1;237;138;452f497d-cfb1-4464-b332-d24c335eec12
134;134;;1;230;139;a86667f6-76a5-440d-811a-9885aa6702b0
134;134;;1;237;139;452f497d-cfb1-4464-b332-d24c335eec12
135;135;;1;230;140;a86667f6-76a5-440d-811a-9885aa6702b0
