Tick;Step;Rule;speed;0_Position;1_Position;ID
21;21;;1.5;20;22;4fd36160-e387-4502-b545-41e9ecd02684
22;22;;1.5;114;7;6a51b22d-3640-40f2-91e3-95587ea6605a
22;22;;1.5;154;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
22;22;;1.5;221;18;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
22;22;;1.5;152;1;0193dabb-4810-4d11-842b-6ba905240ebb
22;22;;1.5;20;20;b7fd22e4-83af-4875-99e4-a04860578d25
22;22;;1.5;22;27;b7779038-56d6-4363-929f-aef47f760de4
22;22;;1.5;19;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
22;22;;1.5;90;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
22;22;;1.5;88;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
22;22;;1.5;21;22;4fd36160-e387-4502-b545-41e9ecd02684
23;23;;1.5;115;7;6a51b22d-3640-40f2-91e3-95587ea6605a
23;23;;1.5;155;1;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
23;23;;1.5;222;19;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
23;23;;1.5;153;1;0193dabb-4810-4d11-842b-6ba905240ebb
23;23;;1.5;21;20;b7fd22e4-83af-4875-99e4-a04860578d25
23;23;;1.5;23;27;b7779038-56d6-4363-929f-aef47f760de4
23;23;;1.5;20;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
23;23;;1.5;91;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
23;23;;1.5;89;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
23;23;;1.5;22;22;4fd36160-e387-4502-b545-41e9ecd02684
24;24;;1.5;116;7;6a51b22d-3640-40f2-91e3-95587ea6605a
24;24;;1.5;156;2;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
24;24;;1.5;223;20;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
24;24;;1.5;154;2;0193dabb-4810-4d11-842b-6ba905240ebb
24;24;;1.5;22;20;b7fd22e4-83af-4875-99e4-a04860578d25
24;24;;1.5;24;27;b7779038-56d6-4363-929f-aef47f760de4
24;24;;1.5;21;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
